,TPM,LS,CI
dcr_nham1_ugri_v1.5_10yrs,0.643609925482183,0.47528732014074626,0.7123481836321672
rolling_mod6_sdf_0.20_v1.5_10yrs,0.719596127870687,0.5452732619915905,0.7005216687818433
wfd_depth_scale0.95_noddf_v1.5_10yrs,0.7951049278408169,0.43241514818338433,0.7390418367472916
u60_v1.5_10yrs,0.7638799261369759,0.48492009119964485,0.6082129430331329
footprint_stuck_rollingv1.5_10yrs,0.35564203800071864,0.49104673121884873,0.6347983025390858
filterdist_indx4_v1.5_10yrs,0.9268150338951331,0.4343637292252195,0.7953044153612253
wfd_depth_scale0.70_noddf_v1.5_10yrs,0.6695096470080626,0.4761389737826411,0.6593332258082191
daily_ddf_v1.5_10yrs,0.8227341556017908,0.4772757648000472,0.6827213618817886
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.7250700275850605,0.5275801642246717,0.6602862644294872
goodseeing_gz_v1.5_10yrs,0.8500098539070322,1.0,0.7100423849029646
filterdist_indx1_v1.5_10yrs,0.8294588071936183,0.3922393340292589,0.7371709074146867
footprint_standard_goalsv1.5_10yrs,0.7787650859491315,0.4938399930986191,0.7032600684903613
footprint_big_sky_dustv1.5_10yrs,0.8076229469709507,0.4818979771444227,0.7001890221111065
footprint_bluer_footprintv1.5_10yrs,0.7837227045319866,0.3984892602511353,0.6923591326714897
twilight_neo_mod4_v1.5_10yrs,0.5461301286634545,0.48349678826507325,0.6688713052608154
goodseeing_gi_v1.5_10yrs,0.8563820765855421,0.4262122719565713,0.7190637968678552
footprint_big_wfdv1.5_10yrs,0.6986860608487195,0.5129022720667895,0.6449706280383364
dcr_nham2_ugr_v1.5_10yrs,0.7539983600864713,0.4905641310591892,0.7364769655284221
short_exp_5ns_5expt_v1.5_10yrs,0.8126441221197205,0.4748843471438907,0.711419414876105
goodseeing_griz_v1.5_10yrs,0.8781892776370678,0.4237994872151628,0.7167305295145996
twilight_neo_mod1_v1.5_10yrs,0.4007624541789901,0.5439381685523912,0.44947236510115013
bulges_cadence_bulge_wfd_v1.5_10yrs,0.6303339777367304,0.4964932845401874,0.6254131665883452
third_obs_pt120v1.5_10yrs,0.8494434368145098,0.4767947920666434,0.7098851648026038
wfd_depth_scale0.95_v1.5_10yrs,0.805413418843612,0.44659056979848666,0.7162053588567133
wfd_depth_scale0.85_noddf_v1.5_10yrs,0.7272938008624075,0.44994797809754,0.7086415592375026
footprint_no_gp_northv1.5_10yrs,0.8025026490052937,0.45980062749460787,0.6975553052105042
footprint_big_skyv1.5_10yrs,0.801081836676813,0.5768927326345957,0.7318607148101405
footprint_newBv1.5_10yrs,0.8646074004351394,0.5135106477159305,1.0
baseline_2snaps_v1.5_10yrs,0.8039584537087263,0.4794276403947563,0.6505772326319837
footprint_big_sky_nouiyv1.5_10yrs,1.0,0.4692974197392649,0.7444010300735946
twilight_neo_mod3_v1.5_10yrs,0.4101628925999595,0.4639962291316883,0.6545240565394028
greedy_footprint_v1.5_10yrs,0.670033047803981,0.4640922904196391,0.7021753871110269
wfd_depth_scale0.90_v1.5_10yrs,0.7722327302027022,0.47153107099888925,0.6999660399341179
dcr_nham1_ug_v1.5_10yrs,0.5882431862709528,0.46036903425518894,0.718583722176532
rolling_mod2_sdf_0.10_v1.5_10yrs,0.724787180975965,0.5003809126214785,0.6912538089851243
footprint_newAv1.5_10yrs,0.791662897271715,0.5167576826928061,0.6370168365850867
rolling_mod3_sdf_0.10_v1.5_10yrs,0.7160879532314667,0.5237297192777103,0.6956411582360156
var_expt_v1.5_10yrs,0.8556431892884239,0.34530362059259195,0.7156932821810503
bulges_i_heavy_v1.5_10yrs,0.6791693923934994,0.49630059285776273,0.627292134302429
wfd_depth_scale0.75_v1.5_10yrs,0.6913442223071834,0.47615073713633677,0.6515514210205806
dcr_nham2_ug_v1.5_10yrs,0.6917618827893582,0.45927486027474307,0.7302309963421569
filterdist_indx3_v1.5_10yrs,0.9332719131958448,0.354646932017192,0.6993777269916698
goodseeing_i_v1.5_10yrs,0.778525870509089,0.4744738096016903,0.6831265441554438
short_exp_2ns_5expt_v1.5_10yrs,0.8907001497096642,0.4634204808963992,0.6908506918549585
footprint_add_mag_cloudsv1.5_10yrs,0.828432423172386,0.4612352545112986,0.6863282733809637
filterdist_indx6_v1.5_10yrs,0.9494747450680386,0.4682956086109003,0.7693513339659664
agnddf_v1.5_10yrs,0.7937996901083546,0.4496565194030557,0.7004289654017387
wfd_depth_scale0.70_v1.5_10yrs,0.6866560863689526,0.5051690166789996,0.6397487887566449
alt_dust_v1.5_10yrs,0.7969101818304822,0.5492493711956308,0.665481252912362
baseline_v1.5_10yrs,0.792020202650703,0.47608662518116057,0.6983082153845811
filterdist_indx7_v1.5_10yrs,0.9253127408268411,0.4082395377369012,0.734191272690792
wfd_depth_scale0.65_v1.5_10yrs,0.6323242764906611,0.5553920963293222,0.6220773307428888
descddf_v1.5_10yrs,0.7997690139115257,0.47224217057784074,0.702619450417822
bulges_bs_v1.5_10yrs,0.633560569927068,0.4928659149458475,0.6345277188180559
baseline_samefilt_v1.5_10yrs,0.8332416341501195,0.4780709828946944,0.7523083269918103
filterdist_indx2_v1.5_10yrs,0.8841429837600656,0.43080330577827747,0.7456313412974285
short_exp_5ns_1expt_v1.5_10yrs,0.9136775907014392,0.4626673873222026,0.6195663113270811
wfd_depth_scale0.80_noddf_v1.5_10yrs,0.873207502154934,0.4643252578359577,0.6867159668317071
wfd_depth_scale0.85_v1.5_10yrs,0.7603634443053052,0.45823097777032784,0.6872542701057766
dcr_nham2_ugri_v1.5_10yrs,0.7162492884731338,0.5070505099642151,0.7225495040458466
third_obs_pt45v1.5_10yrs,0.7305641518860418,0.8367236773800757,0.7008497610049234
wfd_depth_scale0.65_noddf_v1.5_10yrs,0.6637806659312868,0.48581536789130536,0.6370698519460725
wfd_depth_scale0.80_v1.5_10yrs,0.6801147795985352,0.481789599048202,0.6663684392218775
bulges_cadence_i_heavy_v1.5_10yrs,0.6874740739461719,0.4939846853428799,0.625578723542105
filterdist_indx8_v1.5_10yrs,0.9127876565819372,0.4492194285955195,0.70551495946045
rolling_mod6_sdf_0.10_v1.5_10yrs,0.7235030526000881,0.5670276094825015,0.708057735655736
footprint_gp_smoothv1.5_10yrs,0.7156680587527016,0.4580504682980406,0.6702188799434374
twilight_neo_mod2_v1.5_10yrs,0.4168136694790591,0.49831505704618356,0.6082998602663984
third_obs_pt15v1.5_10yrs,0.792020202650703,0.47608662518116057,0.6983070908676564
bulges_bulge_wfd_v1.5_10yrs,0.621486166703106,0.4854618378383293,0.6254880363732161
goodseeing_gri_v1.5_10yrs,0.8588596146718196,0.4320856303011337,0.7145305554730617
rolling_mod3_sdf_0.20_v1.5_10yrs,0.7110391130958933,0.5309506689776644,0.6947362097517225
short_exp_2ns_1expt_v1.5_10yrs,0.7951575410896379,0.4828832368599104,0.6695683497088475
spiders_v1.5_10yrs,0.7212458052870021,0.45616060524583574,0.697416816416701
third_obs_pt90v1.5_10yrs,0.8492758134499119,0.47272296894222837,0.7066320884744689
dcr_nham1_ugr_v1.5_10yrs,0.6692868438605027,0.4693200345937159,0.717156188792594
wfd_depth_scale0.75_noddf_v1.5_10yrs,0.678137164511481,0.4701637471380164,0.6763139055470537
third_obs_pt60v1.5_10yrs,0.757566667857045,0.4597000693189461,0.7051290826702933
rolling_mod2_sdf_0.20_v1.5_10yrs,0.7141284757563834,0.5072276081245158,0.6924105204672392
wfd_depth_scale0.90_noddf_v1.5_10yrs,0.8215606195042257,0.46740446279091175,0.7218793337389301
wfd_depth_scale0.99_noddf_v1.5_10yrs,0.8338936349930212,0.4556002643921181,0.7563221350277309
bulges_cadence_bs_v1.5_10yrs,0.625616204144186,0.4861337792304447,0.6345751659159655
third_obs_pt30v1.5_10yrs,0.8118430789919456,0.4712244041654487,0.6953578682644678
wfd_depth_scale0.99_v1.5_10yrs,0.8448673679924182,0.48209228175036334,0.725489444132776
filterdist_indx5_v1.5_10yrs,0.8816991107222913,0.45058465878271015,0.6453321913699087
roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.7741846956156508,0.5493291162152959,0.6571819204358018
