db,log uniform,linear,Nv,log normal,family
agnddf_v1.5_10yrs.db,0.43286407347067823,0.5038177817320283,0.5379556577912286,0.467709026136116,agnddf
alt_dust_v1.5_10yrs.db,0.5830739872610866,0.7036356092469996,0.6438586779501319,0.6743880216853037,alt
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,0.6419927170779708,0.7955746298147861,0.7013081514557454,0.7796438462633692,alt
baseline_2snaps_v1.5_10yrs.db,0.4415350831176196,0.4611246091195978,0.4950494282641847,0.4362700450946471,baseline
baseline_samefilt_v1.5_10yrs.db,0.2509468802640676,0.19058244740368746,0.12459984900170637,0.13805495948078436,baseline
baseline_v1.5_10yrs.db,0.4635834621836386,0.5424113658623464,0.5734753744258223,0.5081746452929257,baseline
bulges_bs_v1.5_10yrs.db,0.42576962585310235,0.3969559258901386,0.43307524157229993,0.3704722767556678,bulges
bulges_bulge_wfd_v1.5_10yrs.db,0.40481315948711966,0.39113393961750564,0.43141421701575616,0.3610651118256376,bulges
bulges_cadence_bs_v1.5_10yrs.db,0.41498519307660364,0.40815732761512447,0.4390985505896823,0.37937764426960935,bulges
bulges_cadence_bulge_wfd_v1.5_10yrs.db,0.4119359396759852,0.38987785693435284,0.42860089445604316,0.3565714185674626,bulges
bulges_cadence_i_heavy_v1.5_10yrs.db,0.4113449844100236,0.39761106242562516,0.42946063594007206,0.37264967256048037,bulges
bulges_i_heavy_v1.5_10yrs.db,0.3943726193839501,0.39088077787406034,0.42903235460426126,0.3664378724051908,bulges
daily_ddf_v1.5_10yrs.db,0.4134594564334132,0.4479815118689428,0.4900107669182499,0.41923238636458543,daily
dcr_nham1_ug_v1.5_10yrs.db,0.449069237465692,0.5091818959494055,0.5446349730017543,0.48021838524555327,dcr
dcr_nham1_ugr_v1.5_10yrs.db,0.4337980791208887,0.480192678977772,0.5158191740850568,0.4426940376251218,dcr
dcr_nham1_ugri_v1.5_10yrs.db,0.45356766982629937,0.4943200768072793,0.5191668892847048,0.4610276762556773,dcr
dcr_nham2_ug_v1.5_10yrs.db,0.4327879317280968,0.474618541357933,0.5060057978505372,0.44996306033763644,dcr
dcr_nham2_ugr_v1.5_10yrs.db,0.40946100958668635,0.422891224449671,0.46674519604594283,0.38586598033201364,dcr
dcr_nham2_ugri_v1.5_10yrs.db,0.3996720887952587,0.43321100194236195,0.4551173659409357,0.3947367114085315,dcr
descddf_v1.5_10yrs.db,0.4273537510696522,0.49986245150241687,0.5323070252616262,0.4656414256771489,descddf
filterdist_indx1_v1.5_10yrs.db,0.5340235432804211,0.615949762483167,0.6325236607347652,0.5973931976712693,filterdist
filterdist_indx2_v1.5_10yrs.db,0.5117179400474386,0.6147278214916474,0.6544413223983783,0.5753954076281433,filterdist
filterdist_indx3_v1.5_10yrs.db,0.48311408740576073,0.5973047372702585,0.6170368485176051,0.5920983001321546,filterdist
filterdist_indx4_v1.5_10yrs.db,0.47456031582558394,0.5230494504089935,0.5846744698822809,0.5052965838354295,filterdist
filterdist_indx5_v1.5_10yrs.db,0.4047959920554429,0.49416839570326626,0.5615801433588167,0.456523485608853,filterdist
filterdist_indx6_v1.5_10yrs.db,0.38227159875238154,0.46823987317445465,0.5624664180932897,0.42189921654649115,filterdist
filterdist_indx7_v1.5_10yrs.db,0.5038742495634385,0.6630100702636613,0.6747402945750333,0.6146998543789493,filterdist
filterdist_indx8_v1.5_10yrs.db,0.4314656599340324,0.5380897289666448,0.5968389071974843,0.49819389915914974,filterdist
footprint_add_mag_cloudsv1.5_10yrs.db,0.48423948568258224,0.5201533737327078,0.5529367050527756,0.48748837362449465,footprint
footprint_big_sky_dustv1.5_10yrs.db,0.4870664584918286,0.5371564915185154,0.5667051829030647,0.4988123107318272,footprint
footprint_big_sky_nouiyv1.5_10yrs.db,0.5096790763822199,0.6034500309022863,0.64124485282733,0.5739233333843231,footprint
footprint_big_skyv1.5_10yrs.db,0.5037877455127822,0.6019680643570885,0.6228710864252784,0.5665500946192148,footprint
footprint_big_wfdv1.5_10yrs.db,0.4555455290395525,0.49973047857819414,0.5584895456362473,0.4653273301171318,footprint
footprint_bluer_footprintv1.5_10yrs.db,0.45487249564870896,0.5057297871348869,0.5423125119050545,0.5139124337491843,footprint
footprint_gp_smoothv1.5_10yrs.db,0.43174629516901675,0.46952092856713634,0.5150514715474867,0.44584664218553555,footprint
footprint_newAv1.5_10yrs.db,0.35280907976351983,0.3326782686312198,0.3893852883655349,0.31299478849906626,footprint
footprint_newBv1.5_10yrs.db,0.41229735960707137,0.39173864834660455,0.43556455673921307,0.3668119264362324,footprint
footprint_no_gp_northv1.5_10yrs.db,0.46025398365252307,0.5380669878745583,0.5663861611560639,0.5082238428790601,footprint
footprint_standard_goalsv1.5_10yrs.db,0.47445009881721517,0.5275215480244912,0.5666746246979505,0.4971059067272051,footprint
footprint_stuck_rollingv1.5_10yrs.db,0.5526012921574024,0.6956042950391194,0.683851917604605,0.674908446499839,footprint
goodseeing_gi_v1.5_10yrs.db,0.47055499360983494,0.5470814610529114,0.5421419836974675,0.5169032001540342,goodseeing
goodseeing_gri_v1.5_10yrs.db,0.5062513637620782,0.5537240760355573,0.5493787730460822,0.5208615995535015,goodseeing
goodseeing_griz_v1.5_10yrs.db,0.4916039933860152,0.5568159481510627,0.5542036005672089,0.527165279357716,goodseeing
goodseeing_gz_v1.5_10yrs.db,0.5059752944980396,0.583827323753397,0.5697627974131301,0.5408004569665624,goodseeing
goodseeing_i_v1.5_10yrs.db,0.4499726846930526,0.5045040428330345,0.5232457357007458,0.48613909369853414,goodseeing
greedy_footprint_v1.5_10yrs.db,0.47429099780113887,0.5206359566201498,0.5507857083907428,0.4967535892438433,greedy
roll_mod2_dust_sdf_0.20_v1.5_10yrs.db,0.4898324790920153,0.5015252649350945,0.5157645612422584,0.4756858898736158,roll
rolling_mod2_sdf_0.10_v1.5_10yrs.db,0.5515324428972171,0.6015186695379054,0.5954850952872588,0.5861748490037262,rolling
rolling_mod2_sdf_0.20_v1.5_10yrs.db,0.5698471493985552,0.5921607964318285,0.5868786304656608,0.577826341793391,rolling
rolling_mod3_sdf_0.10_v1.5_10yrs.db,0.6060398795640815,0.6924356243305088,0.6566464210995526,0.6755096083607531,rolling
rolling_mod3_sdf_0.20_v1.5_10yrs.db,0.5766045058356293,0.6517542329243382,0.6276076480836865,0.6383666245196885,rolling
rolling_mod6_sdf_0.10_v1.5_10yrs.db,0.7240662916747429,1.0,0.8531096609132438,1.0,rolling
rolling_mod6_sdf_0.20_v1.5_10yrs.db,0.7562361915065471,0.9875928802729665,0.8068728955459787,0.982018145390075,rolling
short_exp_2ns_1expt_v1.5_10yrs.db,0.824817602946836,0.6886524778413824,0.7370490671947045,0.6645752547841736,short
short_exp_2ns_5expt_v1.5_10yrs.db,0.7617638061887793,0.6752697783956817,0.7089799537463561,0.6491087293644621,short
short_exp_5ns_1expt_v1.5_10yrs.db,0.971456916403777,0.8840544135259969,0.9807457451357647,0.8672768185849923,short
short_exp_5ns_5expt_v1.5_10yrs.db,1.0,0.8434583688247168,0.9087991705007412,0.7916500864870494,short
spiders_v1.5_10yrs.db,0.47763997697398863,0.5316697635636175,0.5648271098919548,0.5007970326930671,spiders
third_obs_pt120v1.5_10yrs.db,0.4461115669440161,0.49120459984032055,0.46815630094771576,0.40567978730493254,third
third_obs_pt15v1.5_10yrs.db,0.4635834621836386,0.5424113658623464,0.5734753744258223,0.5072430408604441,third
third_obs_pt30v1.5_10yrs.db,0.45903358352448037,0.5347352451943473,0.5605064568017538,0.49913619533598386,third
third_obs_pt45v1.5_10yrs.db,0.47549626758828173,0.5363807012974338,0.557561919740918,0.4961531943000126,third
third_obs_pt60v1.5_10yrs.db,0.47782666025805526,0.5346054046566162,0.5495058123875676,0.46787783211559664,third
third_obs_pt90v1.5_10yrs.db,0.41543311543186856,0.5109734698511501,0.5003666966847485,0.4211928960669247,third
twilight_neo_mod1_v1.5_10yrs.db,0.5996685788879139,0.5433482038200399,0.5619709436606939,0.4944082158750767,twilight
twilight_neo_mod2_v1.5_10yrs.db,0.5212514165695302,0.5491237597636985,0.57542571164734,0.50841783099222,twilight
twilight_neo_mod3_v1.5_10yrs.db,0.4839082643712973,0.5324687603585572,0.564962192752048,0.5009443783201011,twilight
twilight_neo_mod4_v1.5_10yrs.db,0.524293260140647,0.5500636906232641,0.5750504440994159,0.5133691570455787,twilight
u60_v1.5_10yrs.db,0.4203318744380057,0.458442594903246,0.4923304499673653,0.44596381402768626,u60
var_expt_v1.5_10yrs.db,0.6859237840827513,0.6399651247811741,0.5555816484354811,0.7337594331553435,var
wfd_depth_scale0.65_noddf_v1.5_10yrs.db,0.3887940350859886,0.41818050299258364,0.4784192220342483,0.3823668982250569,wfd
wfd_depth_scale0.65_v1.5_10yrs.db,0.38879250953525735,0.39404185326329494,0.4447269332236415,0.36202632748206465,wfd
wfd_depth_scale0.70_noddf_v1.5_10yrs.db,0.4131849482880243,0.44583779346336305,0.5059190597907198,0.41162158381143404,wfd
wfd_depth_scale0.70_v1.5_10yrs.db,0.3643262501303666,0.3885349647654952,0.4590144807765661,0.3563043338818956,wfd
wfd_depth_scale0.75_noddf_v1.5_10yrs.db,0.44704055306395896,0.48063894268821244,0.5341540808015441,0.45400778157136745,wfd
wfd_depth_scale0.75_v1.5_10yrs.db,0.41383589662003856,0.44957614447518884,0.4891291792629788,0.41565497325861406,wfd
wfd_depth_scale0.80_noddf_v1.5_10yrs.db,0.45630512340653734,0.5109401864357219,0.5569540270702944,0.48736909309077847,wfd
wfd_depth_scale0.80_v1.5_10yrs.db,0.4221630615976391,0.4633245511934562,0.510458901666046,0.42957139849959863,wfd
wfd_depth_scale0.85_noddf_v1.5_10yrs.db,0.46840044716279766,0.5471964498102612,0.5868775320613975,0.516632178139632,wfd
wfd_depth_scale0.85_v1.5_10yrs.db,0.43529609250993107,0.4948125354201687,0.5343991819898776,0.4681716400469617,wfd
wfd_depth_scale0.90_noddf_v1.5_10yrs.db,0.48730287352404983,0.5807880807232645,0.6168502095556725,0.5503143192653033,wfd
wfd_depth_scale0.90_v1.5_10yrs.db,0.4677660059559486,0.5228706761631458,0.5616682667091227,0.48902173415392125,wfd
wfd_depth_scale0.95_noddf_v1.5_10yrs.db,0.5108410185119011,0.6103492839416921,0.6505403940313076,0.5825348377096138,wfd
wfd_depth_scale0.95_v1.5_10yrs.db,0.47767044379963686,0.5510248325475511,0.5954353707513288,0.5241093603452962,wfd
wfd_depth_scale0.99_noddf_v1.5_10yrs.db,0.5324314032994091,0.6633679793808377,0.6905386407122535,0.6272300089814273,wfd
wfd_depth_scale0.99_v1.5_10yrs.db,0.4992400880968036,0.6097972403230197,0.6359472351726292,0.569059126414889,wfd
