db,uu,ug,ur,ui,uz,uy
baseline_nexp2_v1.7.1_10yrs.db,342,16,11,0,0,28
bulge_roll_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,192,2,0,0,0,59
bulge_roll_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,221,10,0,0,0,135
footprint_6_v1.7.1_10yrs.db,219,29,26,0,0,33
full_disk_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,232,5,0,0,0,42
full_disk_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,253,13,0,1,0,55
full_disk_v1.7_10yrs.db,225,21,11,0,0,2
rolling_nm_scale0.90_nslice2_fpw0.9_nrw1.0v1.7_10yrs.db,316,3,0,0,0,48
rolling_nm_scale0.90_nslice3_fpw0.9_nrw1.0v1.7_10yrs.db,369,8,1,0,0,116
six_stripe_scale0.90_nslice6_fpw0.9_nrw0.0v1.7_10yrs.db,281,128,16,6,0,594
