db,tgaps_wfd,tgaps_all,nfields_wfd,nfields_all,nstars_wfd,nstars_all
agnddf_v1.5_10yrs,0.49046385187246,0.47145278606904695,0.7137036304193571,0.5122083660715913,0.6815105186992214,0.305742114939595
alt_dust_v1.5_10yrs,0.0269726521871507,0.2816586258485246,0.07651540690299337,0.5072032290038182,0.10581991096548972,0.4723006910806893
alt_roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.052868098103275356,0.33928792340535563,0.10014164179500712,0.5573697101143477,0.14543592678905798,0.528297242059293
baseline_2snaps_v1.5_10yrs,0.4486205908831812,0.46391602771616647,0.5037375958640112,0.5200692322924656,0.5164959526697592,0.3061606552444756
baseline_samefilt_v1.5_10yrs,0.14466134241605766,0.14440436512779717,0.3226897117851818,0.3044982358009959,0.3140614774021824,0.2420177043580084
baseline_v1.5_10yrs,0.5094468907600453,0.5104518157241392,0.7306303202019938,0.5399465201329128,0.7147582359064627,0.3461997525474695
bulges_bs_v1.5_10yrs,0.14508940570454407,0.23571031153504607,0.12458306959867026,0.38040606979279473,0.147347497940555,0.32699951682160416
bulges_bulge_wfd_v1.5_10yrs,0.16652853454640507,0.4478137840346911,0.12368471624450442,0.5180826456109232,0.1532476258779276,0.5288630637787225
bulges_cadence_bs_v1.5_10yrs,0.14894426213045137,0.2167865662634248,0.15934309242653805,0.3931640155979984,0.17598394306779863,0.32968269888417373
bulges_cadence_bulge_wfd_v1.5_10yrs,0.15347790363379607,0.29818221546924323,0.11674006517345495,0.435422840763479,0.1516347668212045,0.4965429746493945
bulges_cadence_i_heavy_v1.5_10yrs,0.15973456871053018,0.2816574912883163,0.11666280862799669,0.42709744208810074,0.14840752441948374,0.46676056899680624
bulges_i_heavy_v1.5_10yrs,0.17790042038555795,0.29103554105799195,0.16040302060569858,0.43416894103731535,0.18145274993679308,0.44844682090826987
daily_ddf_v1.5_10yrs,0.484640123168081,0.44915614798490777,0.621093080426532,0.5581633195326219,0.6342670392440665,0.3760181527189238
dcr_nham1_ug_v1.5_10yrs,0.5765499893319113,0.5316902579808443,0.7461098974815195,0.5209063597053581,0.7113704242785176,0.33270263608643974
dcr_nham1_ugr_v1.5_10yrs,0.5930774114279502,0.5195653484289245,0.7078381677740275,0.5498281462333569,0.7066925360080858,0.3290775007694419
dcr_nham1_ugri_v1.5_10yrs,0.5110415827879228,0.5005438431166965,0.655604925445845,0.5399470544252337,0.6861901528522933,0.36940128456442284
dcr_nham2_ug_v1.5_10yrs,0.4934877474122861,0.4908269652908061,0.6269231464921908,0.5266936130526275,0.6366999830626741,0.4026073772511931
dcr_nham2_ugr_v1.5_10yrs,0.5199559051251011,0.5171494985940105,0.5731116236230599,0.4979580514474078,0.5815421317780565,0.33742950203476013
dcr_nham2_ugri_v1.5_10yrs,0.4304991186299865,0.48980807049790737,0.57500761364899,0.509395413640315,0.5700486365377007,0.3628909920467484
descddf_v1.5_10yrs,0.48961608066900286,0.43286847942986867,0.642496760100876,0.5196087145831508,0.6519364844437789,0.32422503244200807
filterdist_indx1_v1.5_10yrs,0.6220552493458491,0.9255208825629575,0.5701911385484,0.8703536422630064,0.5503501066170751,0.9663161726816754
filterdist_indx2_v1.5_10yrs,0.6278346311104631,0.9449088089888714,0.84860192781593,0.8541735052822416,0.7916023009639142,0.9486690458763468
filterdist_indx3_v1.5_10yrs,0.6268977026155211,0.8967016122197833,0.6123910186048845,0.757182530775545,0.591117008202514,0.8394320059505603
filterdist_indx4_v1.5_10yrs,0.6208167900918498,0.9062965499685848,0.5958250266750115,0.768509071643691,0.5686804493434433,0.8404956164870941
filterdist_indx5_v1.5_10yrs,0.5127645488453507,0.7626444936519876,0.5601407295893075,0.802217399128586,0.5314930832116539,0.854762820034878
filterdist_indx6_v1.5_10yrs,0.5082883141480634,0.7934675233839993,0.6050445097581424,0.7536492531208707,0.5668740759173679,0.8389842523153459
filterdist_indx7_v1.5_10yrs,0.6524946244546264,0.9578873127946181,0.8181605226580596,0.8267242976083723,0.7879416376007317,0.9134510969355489
filterdist_indx8_v1.5_10yrs,0.5721380465369958,0.8741301835289004,0.7420974796718515,0.7983009274183065,0.6689841062451496,0.8814430177658918
footprint_add_mag_cloudsv1.5_10yrs,0.5225849112287994,0.49902067192715754,0.7500276369931625,0.5723525156188173,0.7418820903455701,0.40453665575443976
footprint_big_sky_dustv1.5_10yrs,0.015619862507318156,0.04460163441084762,0.08870418274467848,0.1477166303030977,0.12069613744551418,0.075139352800363
footprint_big_sky_nouiyv1.5_10yrs,0.0,0.0007688072436783325,0.0,0.02662088035990741,0.0,0.008457867967096673
footprint_big_skyv1.5_10yrs,0.0,0.003126313595297214,0.0,0.050835374229810076,0.0,0.015841957350456112
footprint_big_wfdv1.5_10yrs,4.287016930898667e-06,0.4032653357913279,0.0010729808461222856,0.5002854056419813,0.001988385963144663,0.2901026413934261
footprint_bluer_footprintv1.5_10yrs,0.5492373696745017,0.4916841466757902,0.4986602007745748,0.48518753713591567,0.5009270759986167,0.33160591776759135
footprint_gp_smoothv1.5_10yrs,0.48934628949003034,0.9501642298229266,0.4770321670841225,1.0,0.4615107222730662,1.0
footprint_newAv1.5_10yrs,0.0,0.5382934963059757,0.0,0.865512784472725,0.0,0.8820235340944698
footprint_newBv1.5_10yrs,0.0,0.48083876793180225,0.0,0.6919508302057564,0.0,0.7872920446790479
footprint_no_gp_northv1.5_10yrs,0.494479739446451,0.4254664571765114,0.5635920167559578,0.45688301066529136,0.527818904912822,0.2923694518380837
footprint_standard_goalsv1.5_10yrs,0.5402259539528412,0.47379315601999417,0.7441487040039763,0.552568339333873,0.7379171612539381,0.366491434342147
footprint_stuck_rollingv1.5_10yrs,0.4695640511570138,0.4784118130641405,0.43365908752280213,0.3023427863850061,0.3577575969213351,0.16241082799398424
goodseeing_gi_v1.5_10yrs,0.5089007036017498,0.47232546426584465,0.7223136466885357,0.5498894233481014,0.7065223723133836,0.3350198088611737
goodseeing_gri_v1.5_10yrs,0.5524189803994999,0.6419758599365214,0.7141145728934132,0.5818512739032601,0.7075491072146265,0.4104299289319986
goodseeing_griz_v1.5_10yrs,0.6176102814448324,0.5699337914996087,0.7244355452522783,0.5874269829431424,0.7104986344330876,0.38592109219443715
goodseeing_gz_v1.5_10yrs,0.7272982769972532,0.6684460830001766,0.8228592583504704,0.6275831885041513,0.8091747039058403,0.38673089248413695
goodseeing_i_v1.5_10yrs,0.5389758675289963,0.48239669334295954,0.7073387344406227,0.5086245976370123,0.6920349815006216,0.2962441973879141
greedy_footprint_v1.5_10yrs,0.5203522720677005,0.48365518802670127,0.7073427421791256,0.5467819662175097,0.6912046358274656,0.3453138668432027
roll_mod2_dust_sdf_0.20_v1.5_10yrs,0.028531178140600893,0.2612617773645401,0.06801080575833095,0.5730067898833455,0.1092673103940328,0.5756174466636309
rolling_mod2_sdf_0.10_v1.5_10yrs,0.5798546394153944,0.5461465578769117,0.7462604697452122,0.5854173761194096,0.7149067698771888,0.3771057408803288
rolling_mod2_sdf_0.20_v1.5_10yrs,0.6057867003912636,0.5955670900274241,0.7630590516302133,0.5993387340522195,0.7437687965271659,0.39112425991423105
rolling_mod3_sdf_0.10_v1.5_10yrs,0.7188505293435574,0.6313541496063944,0.8083193146558385,0.5568104318489805,0.7724075689327577,0.31083440236987353
rolling_mod3_sdf_0.20_v1.5_10yrs,0.6831377743873241,0.6191259177048172,0.8061686922547214,0.5637551050572057,0.7790245096457562,0.35044342223941477
rolling_mod6_sdf_0.10_v1.5_10yrs,0.9987950903034913,0.7773960614210056,0.8645702050444795,0.5415439781444114,0.7909400164386962,0.2978708982337022
rolling_mod6_sdf_0.20_v1.5_10yrs,0.7857096852814123,0.6518613303546433,0.8243872597631174,0.5301037649009949,0.7414313416572261,0.2770840556408853
short_exp_2ns_1expt_v1.5_10yrs,0.7969501196502429,0.7680866267219054,0.8870358680053015,0.7610599487477281,0.840230946201572,0.6661617102231974
short_exp_2ns_5expt_v1.5_10yrs,0.75987083659736,0.7682914778507551,0.8657069807896719,0.703196668905155,0.8275817466731253,0.5920721019937635
short_exp_5ns_1expt_v1.5_10yrs,1.0,1.0,1.0,0.824917475856478,1.0,0.7560036819328045
short_exp_5ns_5expt_v1.5_10yrs,0.8746390644693804,0.941819478332198,0.9313787154204093,0.770631576483962,0.9326396362520663,0.6994778037773065
spiders_v1.5_10yrs,0.48168344870355684,0.4456831873821387,0.7396683971780071,0.5322259318601507,0.7217509326259374,0.32010242658532767
third_obs_pt120v1.5_10yrs,0.5631621074335594,0.5051875632397896,0.581339100439469,0.4945276628509869,0.5853062946007815,0.326583711645533
third_obs_pt15v1.5_10yrs,0.5094468907600453,0.5104518157241392,0.7306303202019938,0.5399465201329128,0.7147582359064627,0.3461997525474695
third_obs_pt30v1.5_10yrs,0.6953551963415768,0.5329927843705219,0.8011597315523471,0.5970719594170377,0.7861021702988479,0.3672963345365102
third_obs_pt45v1.5_10yrs,0.5039178968224908,0.48935438242616713,0.7513776067685225,0.5390470382694387,0.7544774807606461,0.36402337781468924
third_obs_pt60v1.5_10yrs,0.5631477328173907,0.5286352586065238,0.6923153013949791,0.5309873736182043,0.6676195944649789,0.39631434307779995
third_obs_pt90v1.5_10yrs,0.5742650554505501,0.520791457804397,0.6782081878797029,0.5596833688918063,0.6660950296008252,0.4217467511846181
twilight_neo_mod1_v1.5_10yrs,0.8639410885546661,0.8013849098524416,0.8149104910698911,0.5616345901938232,0.7586062432002929,0.39758777018794045
twilight_neo_mod2_v1.5_10yrs,0.6954787603312322,0.6091169204498973,0.816892031079407,0.5523933730900261,0.791047985165576,0.3800464448321709
twilight_neo_mod3_v1.5_10yrs,0.6743053753931229,0.5590670058994422,0.8069408456493274,0.5658641672812149,0.7840306060457062,0.39158272412447914
twilight_neo_mod4_v1.5_10yrs,0.6116894030974533,0.542712577838911,0.7960684791702559,0.5691921844355553,0.7843268121492064,0.3934172004727053
u60_v1.5_10yrs,0.4119410750740846,0.3904067601981073,0.5722606804417967,0.46547849098504845,0.5899846643426699,0.2835594680115718
var_expt_v1.5_10yrs,0.7527488290890137,0.6843882765515416,0.603048205552588,0.5081792257041038,0.5859074678128126,0.3154584010994015
wfd_depth_scale0.65_noddf_v1.5_10yrs,0.4663382743603739,0.7179814837421614,0.3308233394979466,0.9331319735330775,0.3011239237303803,0.9154959025993764
wfd_depth_scale0.65_v1.5_10yrs,0.39939456865811956,0.6308908675698534,0.30446397238347017,0.9209290443771645,0.31229538588213746,0.8678788842743441
wfd_depth_scale0.70_noddf_v1.5_10yrs,0.4507377138679304,0.7112291794478133,0.45555308543165085,0.9415862802913428,0.43917123792782725,0.8619715962725726
wfd_depth_scale0.70_v1.5_10yrs,0.4407302693495335,0.6106766207636412,0.37421615158299504,0.9069556704851762,0.38597961624916916,0.843643060613443
wfd_depth_scale0.75_noddf_v1.5_10yrs,0.505947653833193,0.6481042435889901,0.5350344888232191,0.8729148656912411,0.5349536540837446,0.789613054882471
wfd_depth_scale0.75_v1.5_10yrs,0.4899256442284817,0.5675459107802172,0.41344806127148104,0.8899264015998196,0.42290855169399477,0.8055063489466588
wfd_depth_scale0.80_noddf_v1.5_10yrs,0.5471702359936891,0.6814268334813453,0.6942506302283762,0.8612595392691562,0.6867154577184071,0.7696800178669111
wfd_depth_scale0.80_v1.5_10yrs,0.47578980160239753,0.5407470667053785,0.533440346210098,0.7794939095010178,0.5176695182460552,0.7024394241798791
wfd_depth_scale0.85_noddf_v1.5_10yrs,0.5407240100663574,0.5994296821051561,0.7697021864143094,0.7672526019355879,0.7487100471832333,0.6552395482480837
wfd_depth_scale0.85_v1.5_10yrs,0.46455116214703185,0.5420748128435671,0.6404328390827236,0.6933771927523579,0.6385591335370188,0.622186525605006
wfd_depth_scale0.90_noddf_v1.5_10yrs,0.5683308295411442,0.5141678775418507,0.7839393777632881,0.550756967832721,0.7609907271545496,0.3835272106787852
wfd_depth_scale0.90_v1.5_10yrs,0.45391361430110355,0.47466293194214987,0.7439915226376224,0.5390945023328739,0.7317240161261377,0.3660102661979245
wfd_depth_scale0.95_noddf_v1.5_10yrs,0.5776349585884539,0.45989705451659046,0.8532716055085161,0.41987787552564126,0.8035197478954527,0.20013135714302369
wfd_depth_scale0.95_v1.5_10yrs,0.5250566521548816,0.4368487074774319,0.7747046271816964,0.43573742065861104,0.7378072570003635,0.23140937356084698
wfd_depth_scale0.99_noddf_v1.5_10yrs,0.6239556853529442,0.43121021646085905,0.9097250378096989,0.41046299468742053,0.8553685024958023,0.19023706175955327
wfd_depth_scale0.99_v1.5_10yrs,0.6071809660476887,0.4005023250224489,0.861100554283352,0.40257805363566546,0.833087266277044,0.18167182024222067
